constituency_name,region_name,country_name,constituency_type,2017_con,2017_lab,2017_ld,2017_ukip,2017_green,2017_snp,2017_pc,2017_dup,2017_sf,2017_sdlp,2017_uup,2017_alliance,2017_other,2019_con,2019_lab,2019_ld,2019_brexit,2019_green,2019_snp,2019_pc,2019_dup,2019_sf,2019_sdlp,2019_uup,2019_alliance,2019_other
Aberavon,Wales,Wales,County,0.177,0.681,0.018,0.04,0,0,0.083,0,0,0,0,0,0,0.206,0.538,0.034,0.098,0.014,0,0.086,0,0,0,0,0,0.023
Aberconwy,Wales,Wales,County,0.446,0.426,0.029,0,0,0,0.099,0,0,0,0,0,0,0.461,0.397,0.057,0,0,0,0.085,0,0,0,0,0,0
Aberdeen North,Scotland,Scotland,Borough,0.227,0.3,0.046,0,0,0.413,0,0,0,0,0,0,0.014,0.201,0.132,0.076,0.027,0.024,0.54,0,0,0,0,0,0,0
Aberdeen South,Scotland,Scotland,Borough,0.421,0.205,0.059,0,0,0.315,0,0,0,0,0,0,0,0.359,0.084,0.11,0,0,0.447,0,0,0,0,0,0,0
Airdrie and Shotts,Scotland,Scotland,County,0.232,0.371,0.021,0,0,0.376,0,0,0,0,0,0,0,0.176,0.32,0.036,0,0.017,0.451,0,0,0,0,0,0,0
Aldershot,South East,England,Borough,0.551,0.316,0.074,0.037,0.022,0,0,0,0,0,0,0,0,0.584,0.235,0.144,0,0.037,0,0,0,0,0,0,0,0
Aldridge-Brownhills,West Midlands,England,Borough,0.654,0.298,0.033,0,0,0,0,0,0,0,0,0,0.014,0.708,0.204,0.06,0,0.02,0,0,0,0,0,0,0,0.009
Altrincham and Sale West,North West,England,Borough,0.51,0.388,0.077,0,0.019,0,0,0,0,0,0,0,0.006,0.48,0.368,0.11,0,0.029,0,0,0,0,0,0,0,0.012
Alyn and Deeside,Wales,Wales,County,0.404,0.521,0.024,0.025,0,0,0.026,0,0,0,0,0,0,0.42,0.425,0.059,0.062,0,0,0.034,0,0,0,0,0,0
Amber Valley,East Midlands,England,County,0.565,0.384,0.024,0,0.014,0,0,0,0,0,0,0,0.012,0.639,0.268,0.063,0,0.03,0,0,0,0,0,0,0,0
Angus,Scotland,Scotland,County,0.452,0.13,0.033,0,0,0.386,0,0,0,0,0,0,0,0.404,0.048,0.057,0,0,0.491,0,0,0,0,0,0,0
Arfon,Wales,Wales,County,0.164,0.405,0.023,0,0,0,0.408,0,0,0,0,0,0,0.152,0.356,0,0.04,0,0,0.452,0,0,0,0,0,0
Argyll and Bute,Scotland,Scotland,County,0.332,0.126,0.182,0,0,0.36,0,0,0,0,0,0,0,0.352,0.068,0.142,0,0,0.438,0,0,0,0,0,0,0
Arundel and South Downs,South East,England,County,0.624,0.227,0.079,0.028,0.042,0,0,0,0,0,0,0,0,0.579,0.158,0.212,0,0.041,0,0,0,0,0,0,0,0.009
Ashfield,East Midlands,England,County,0.417,0.426,0.019,0.038,0.008,0,0,0,0,0,0,0,0.092,0.393,0.244,0.023,0.051,0.014,0,0,0,0,0,0,0,0.276
Ashford,South East,England,County,0.59,0.298,0.052,0.037,0.023,0,0,0,0,0,0,0,0,0.621,0.22,0.101,0,0.044,0,0,0,0,0,0,0,0.014
Ashton-Under-Lyne,North West,England,Borough,0.32,0.604,0.016,0.047,0.013,0,0,0,0,0,0,0,0,0.37,0.481,0.036,0.082,0.031,0,0,0,0,0,0,0,0
Aylesbury,South East,England,County,0.55,0.3,0.096,0.022,0.021,0,0,0,0,0,0,0,0.011,0.54,0.254,0.166,0,0.04,0,0,0,0,0,0,0,0
Ayr_ Carrick and Cumnock,Scotland,Scotland,County,0.401,0.239,0.019,0,0,0.341,0,0,0,0,0,0,0,0.385,0.133,0.046,0,0,0.435,0,0,0,0,0,0,0
Banbury,South East,England,County,0.542,0.341,0.056,0.026,0.02,0,0,0,0,0,0,0,0.015,0.543,0.276,0.14,0,0.041,0,0,0,0,0,0,0,0
Banff and Buchan,Scotland,Scotland,County,0.48,0.095,0.035,0,0,0.391,0,0,0,0,0,0,0,0.501,0.041,0.054,0,0,0.404,0,0,0,0,0,0,0
Barking,London,England,Borough,0.225,0.678,0.013,0.064,0.015,0,0,0,0,0,0,0,0.006,0.265,0.612,0.033,0.072,0.018,0,0,0,0,0,0,0,0
